Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,2773.465332,2952.334961,2771.975830,2913.217773,2913.217773,712462
2022-05-05,2913.202393,2938.607910,2697.744873,2730.363770,2730.363770,280330
2022-05-06,2730.377686,2768.335449,2631.228516,2687.427490,2687.427490,921228
2022-05-07,2687.234375,2689.976807,2585.107666,2625.694092,2625.694092,232064
2022-05-08,2625.747314,2626.191650,2476.591309,2497.317627,2497.317627,672916
2022-05-09,2497.507324,2503.832764,2212.268311,2228.754395,2228.754395,1527322
2022-05-10,2224.137451,2424.285889,2191.582764,2322.286865,2322.286865,1133705
2022-05-11,2322.316895,2424.396240,2004.159424,2065.022949,2065.022949,4331414
2022-05-12,2066.537109,2151.451904,1696.107300,1911.844727,1911.844727,5588714
2022-05-13,1910.882813,2075.916992,1893.571411,1950.679932,1950.679932,7208684
2022-05-14,1953.415283,2016.550415,1913.175049,2016.440552,2016.440552,2690794
2022-05-15,2015.333008,2121.843750,1956.765747,2111.296387,2111.296387,1641472
2022-05-16,2111.527588,2111.527588,1952.672363,1985.292236,1985.292236,3459829
2022-05-17,1982.812012,2072.043213,1976.058594,2031.400024,2031.400024,1485618
2022-05-18,2031.400757,2047.335815,1878.455078,1879.142700,1879.142700,1256450
2022-05-19,1877.775513,1994.832275,1873.576782,1989.541870,1989.541870,2680288
2022-05-20,1989.503662,2017.894043,1893.260010,1932.657837,1932.657837,1878081
2022-05-21,1932.429932,1948.336182,1905.703369,1925.224121,1925.224121,677567
2022-05-22,1925.227417,1995.082764,1911.538452,1994.964600,1994.964600,1108431
2022-05-23,1994.964722,2030.335815,1924.104736,1929.029175,1929.029175,744777
2022-05-24,1928.914917,1946.401978,1876.037842,1930.146729,1930.146729,859034
2022-05-25,1930.146606,1972.097412,1892.931274,1898.435913,1898.435913,714305
2022-05-26,1898.436035,1918.562744,1708.065308,1761.269165,1761.269165,1434877
2022-05-27,1760.091797,1769.368774,1671.043945,1674.001709,1674.001709,1664202
2022-05-28,1717.512207,1757.921387,1674.603149,1754.226807,1754.226807,912879
2022-05-29,1754.229614,1777.788574,1723.817871,1769.728882,1769.728882,2312392
2022-05-30,1769.699829,1963.885132,1756.860840,1954.132080,1954.132080,776173
2022-05-31,1954.171021,1960.864868,1888.845581,1901.566650,1901.566650,684642
2022-06-01,1901.813232,1924.202026,1736.596191,1784.909912,1784.909912,645595
2022-06-02,1784.674805,1801.413696,1751.576538,1792.178711,1792.178711,575764
2022-06-03,1792.394653,1795.580933,1702.369385,1735.808472,1735.808472,702573
2022-06-04,1735.788574,1770.736084,1711.139648,1760.197754,1760.197754,176132
2022-06-05,1760.255005,1777.946167,1738.728882,1766.118530,1766.118530,370740
